,payment method,categoria Horeca,metodo Pagamento,venduto,citta,macroregione,regione,provincia,data,transazione media,Profitto
1633,mastercard,Hotel,buono pasto,273369,Castellina Marittima,Centro,Toscana,Pisa,2023-06-22,22,62768
1634,bancomat,Pizzeria,buono pasto,632152,Castellina Marittima,Centro,Toscana,Pisa,2023-06-23,66,42764
1635,carta fedelta,Bar,visa,858276,Castellina Marittima,Centro,Toscana,Pisa,2023-06-24,27,198347
1636,visa,Bar,maestro,90405,Castellina Marittima,Centro,Toscana,Pisa,2023-06-25,2,30848
1637,postepay,Stabilimento Balneare,maestro,775891,Castellina Marittima,Centro,Toscana,Pisa,2023-06-26,28,163678
1638,paypal,Pasticceria,postepay,741162,Castellina Marittima,Centro,Toscana,Pisa,2023-06-27,44,31658
1639,satispay,Pasticceria,paypal,9445,Castellina Marittima,Centro,Toscana,Pisa,2023-06-28,34,2605
1640,contante,Pasticceria,paypal,206113,Cortona,Centro,Toscana,Arezzo,2023-06-29,5,58315
1641,buono pasto,Bar,maestro,34275,Cortona,Centro,Toscana,Arezzo,2023-06-30,11,16367
1642,maestro,Ristorante,maestro,509075,Cortona,Centro,Toscana,Arezzo,2023-07-01,7,238664
1643,mastercard,Stabilimento Balneare,carta fedelta,304904,Cortona,Centro,Toscana,Arezzo,2023-07-02,28,39224
1644,bancomat,Pasticceria,satispay,328454,Cortona,Centro,Toscana,Arezzo,2023-07-03,28,84313
1645,carta fedelta,Bar,paypal,466658,Cortona,Centro,Toscana,Arezzo,2023-07-04,85,178640
1646,visa,Bar,paypal,519381,Cortona,Centro,Toscana,Arezzo,2023-07-05,45,150592
1647,postepay,Ristorante,satispay,47038,Cortona,Centro,Toscana,Arezzo,2023-07-06,83,20771
1648,paypal,Bar,contante,764856,Cortona,Centro,Toscana,Arezzo,2023-07-07,36,232793
1649,satispay,Enoteca,carta fedelta,678891,Cortona,Centro,Toscana,Arezzo,2023-07-08,11,97707
1650,contante,Pizzeria,carta fedelta,587170,Monterchi,Centro,Toscana,Arezzo,2023-07-09,93,54073
1651,buono pasto,Enoteca,carta fedelta,644447,Monterchi,Centro,Toscana,Arezzo,2023-07-10,82,70204
1652,maestro,Pasticceria,bancomat,260777,Monterchi,Centro,Toscana,Arezzo,2023-07-11,51,45410
1653,mastercard,Pasticceria,carta fedelta,146555,Monterchi,Centro,Toscana,Arezzo,2023-07-12,54,48426
1654,bancomat,Bar,contante,562878,Monterchi,Centro,Toscana,Arezzo,2023-07-13,71,263568
1655,carta fedelta,Hotel,paypal,963439,Monterchi,Centro,Toscana,Arezzo,2023-07-14,12,435299
1656,visa,Bar,satispay,372733,Monterchi,Centro,Toscana,Arezzo,2023-07-15,20,82986
1657,postepay,Hotel,satispay,378363,Monterchi,Centro,Toscana,Arezzo,2023-07-16,66,139833
1658,paypal,Bar,carta fedelta,627322,Monterchi,Centro,Toscana,Arezzo,2023-07-17,7,160428
1659,satispay,Ristorante,contante,890062,Monterchi,Centro,Toscana,Arezzo,2023-07-18,16,276416
1660,contante,Pizzeria,visa,610361,Cetona,Centro,Toscana,Siena,2023-07-19,34,51891
1661,buono pasto,Ristorante,carta fedelta,817364,Cetona,Centro,Toscana,Siena,2023-07-20,55,37072
1662,maestro,Enoteca,contante,549662,Cetona,Centro,Toscana,Siena,2023-07-21,53,40522
1663,mastercard,Pizzeria,carta fedelta,853882,Cetona,Centro,Toscana,Siena,2023-07-22,98,340314
1664,bancomat,Stabilimento Balneare,maestro,953392,Cetona,Centro,Toscana,Siena,2023-07-23,89,144717
1665,carta fedelta,Stabilimento Balneare,paypal,864885,Cetona,Centro,Toscana,Siena,2023-07-24,10,392485
1666,visa,Stabilimento Balneare,postepay,419016,Cetona,Centro,Toscana,Siena,2023-07-25,89,209415
1667,postepay,Ristorante,satispay,677951,Cetona,Centro,Toscana,Siena,2023-07-26,50,92173
1668,paypal,Ristorante,visa,568798,Cetona,Centro,Toscana,Siena,2023-07-27,36,273736
1669,satispay,Hotel,carta fedelta,316462,Cetona,Centro,Toscana,Siena,2023-07-28,30,46158
1670,contante,Enoteca,mastercard,67277,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-07-29,28,4598
1671,buono pasto,Ristorante,contante,458184,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-07-30,84,160200
1672,maestro,Stabilimento Balneare,contante,714664,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-07-31,59,100883
1673,mastercard,Ristorante,paypal,724558,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-01,7,295021
1674,bancomat,Hotel,maestro,957362,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-02,22,372032
1675,carta fedelta,Enoteca,maestro,270013,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-03,65,107390
1676,visa,Pizzeria,satispay,129525,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-04,36,59375
1677,postepay,Enoteca,satispay,586569,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-05,16,52774
1678,paypal,Stabilimento Balneare,satispay,212902,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-06,20,81753
1679,satispay,Ristorante,postepay,678461,Monte Castello di Vibio,Centro,Umbria,Perugia,2023-08-07,86,47122
1680,contante,Hotel,paypal,14721,Baschi,Centro,Umbria,Perugia,2023-08-08,94,4534
1681,buono pasto,Pasticceria,postepay,245643,Baschi,Centro,Umbria,Perugia,2023-08-09,47,53311
1682,maestro,Ristorante,contante,232129,Baschi,Centro,Umbria,Perugia,2023-08-10,68,91155
1683,mastercard,Hotel,bancomat,711428,Baschi,Centro,Umbria,Perugia,2023-08-11,89,148061
1684,bancomat,Enoteca,mastercard,276289,Baschi,Centro,Umbria,Perugia,2023-08-12,65,55629
1685,carta fedelta,Enoteca,carta fedelta,319950,Baschi,Centro,Umbria,Perugia,2023-08-13,20,155870
1686,visa,Ristorante,mastercard,222125,Baschi,Centro,Umbria,Perugia,2023-08-14,5,67886
1687,postepay,Stabilimento Balneare,paypal,618852,Baschi,Centro,Umbria,Perugia,2023-08-15,41,89079
1688,paypal,Hotel,maestro,454281,Baschi,Centro,Umbria,Perugia,2023-08-16,30,124886
1689,satispay,Hotel,satispay,246249,Baschi,Centro,Umbria,Perugia,2023-08-17,71,88128
1690,contante,Hotel,paypal,97935,Piobbico,Centro,Marche,Urbino,2023-08-18,85,44477
1691,buono pasto,Pizzeria,postepay,206816,Piobbico,Centro,Marche,Urbino,2023-08-19,30,17886
1692,maestro,Pasticceria,visa,316833,Piobbico,Centro,Marche,Urbino,2023-08-20,72,34899
1693,mastercard,Stabilimento Balneare,satispay,450184,Piobbico,Centro,Marche,Urbino,2023-08-21,52,202783
1694,bancomat,Pasticceria,visa,299584,Piobbico,Centro,Marche,Urbino,2023-08-22,57,34847
1695,carta fedelta,Hotel,paypal,38201,Piobbico,Centro,Marche,Urbino,2023-08-23,3,12611
1696,visa,Ristorante,buono pasto,965401,Piobbico,Centro,Marche,Urbino,2023-08-24,35,252919
1697,postepay,Hotel,paypal,269081,Piobbico,Centro,Marche,Urbino,2023-08-25,33,37375
1698,paypal,Bar,paypal,976991,Piobbico,Centro,Marche,Urbino,2023-08-26,22,425119
1699,satispay,Pizzeria,contante,819755,Piobbico,Centro,Marche,Urbino,2023-08-27,71,166284
1700,contante,Ristorante,postepay,881056,Camerata Picena,Centro,Marche,Ancona,2023-08-28,83,128682
1701,buono pasto,Ristorante,bancomat,354630,Camerata Picena,Centro,Marche,Ancona,2023-08-29,29,63862
1702,maestro,Enoteca,buono pasto,727649,Camerata Picena,Centro,Marche,Ancona,2023-08-30,81,302539
1703,mastercard,Pasticceria,maestro,651895,Camerata Picena,Centro,Marche,Ancona,2023-08-31,90,11104
1704,bancomat,Bar,buono pasto,466502,Camerata Picena,Centro,Marche,Ancona,2023-09-01,17,61011
1705,carta fedelta,Pizzeria,carta fedelta,761781,Camerata Picena,Centro,Marche,Ancona,2023-09-02,4,253411
1706,visa,Ristorante,carta fedelta,361706,Camerata Picena,Centro,Marche,Ancona,2023-09-03,31,99248
1707,postepay,Hotel,carta fedelta,157342,Camerata Picena,Centro,Marche,Ancona,2023-09-04,95,77507
1708,paypal,Stabilimento Balneare,contante,877747,Camerata Picena,Centro,Marche,Ancona,2023-09-05,19,294616
1709,satispay,Stabilimento Balneare,carta fedelta,810630,Camerata Picena,Centro,Marche,Ancona,2023-09-06,76,133819
1710,contante,Hotel,visa,766442,Castelfidardo,Centro,Marche,Ancona,2023-09-07,42,349113
1711,buono pasto,Ristorante,carta fedelta,667980,Castelfidardo,Centro,Marche,Ancona,2023-09-08,20,82360
1712,maestro,Hotel,postepay,799009,Castelfidardo,Centro,Marche,Ancona,2023-09-09,18,70798
1713,mastercard,Pizzeria,maestro,668116,Castelfidardo,Centro,Marche,Ancona,2023-09-10,50,55857
1714,bancomat,Stabilimento Balneare,carta fedelta,591896,Castelfidardo,Centro,Marche,Ancona,2023-09-11,73,197762
1715,carta fedelta,Stabilimento Balneare,maestro,518428,Castelfidardo,Centro,Marche,Ancona,2023-09-12,20,169732
1716,visa,Stabilimento Balneare,carta fedelta,961414,Castelfidardo,Centro,Marche,Ancona,2023-09-13,87,380837
1717,postepay,Stabilimento Balneare,paypal,782543,Castelfidardo,Centro,Marche,Ancona,2023-09-14,15,140755
1718,paypal,Pasticceria,carta fedelta,6479,Castelfidardo,Centro,Marche,Ancona,2023-09-15,21,53
1719,satispay,Ristorante,postepay,995269,Castelfidardo,Centro,Marche,Ancona,2023-09-16,36,395767
1720,contante,Pizzeria,mastercard,320466,Ostra,Centro,Marche,Ancona,2023-09-17,36,79239
1721,buono pasto,Bar,bancomat,374537,Ostra,Centro,Marche,Ancona,2023-09-18,14,107410
1722,maestro,Pizzeria,paypal,29580,Ostra,Centro,Marche,Ancona,2023-09-19,39,14610
1723,mastercard,Bar,carta fedelta,899544,Ostra,Centro,Marche,Ancona,2023-09-20,83,295048
1724,bancomat,Bar,buono pasto,746491,Ostra,Centro,Marche,Ancona,2023-09-21,44,115657
1725,carta fedelta,Pasticceria,visa,470534,Ostra,Centro,Marche,Ancona,2023-09-22,25,88562
1726,visa,Ristorante,satispay,220441,Ostra,Centro,Marche,Ancona,2023-09-23,40,75971
1727,postepay,Hotel,paypal,935736,Ostra,Centro,Marche,Ancona,2023-09-24,92,238377
1728,paypal,Pizzeria,carta fedelta,238864,Ostra,Centro,Marche,Ancona,2023-09-25,69,26147
1729,satispay,Hotel,carta fedelta,366993,Ostra,Centro,Marche,Ancona,2023-09-26,24,28928
1730,contante,Enoteca,mastercard,828907,Colmurano,Centro,Marche,Macerata,2023-09-27,86,314195
1731,buono pasto,Bar,bancomat,14643,Colmurano,Centro,Marche,Macerata,2023-09-28,100,1694
1732,maestro,Stabilimento Balneare,carta fedelta,60693,Colmurano,Centro,Marche,Macerata,2023-09-29,76,22718
1733,mastercard,Pasticceria,visa,75720,Colmurano,Centro,Marche,Macerata,2023-09-30,10,26099
1734,bancomat,Stabilimento Balneare,contante,125968,Colmurano,Centro,Marche,Macerata,2023-10-01,12,8147
1735,carta fedelta,Hotel,bancomat,62023,Colmurano,Centro,Marche,Macerata,2023-10-02,75,7152
1736,visa,Ristorante,contante,92975,Colmurano,Centro,Marche,Macerata,2023-10-03,4,27276
1737,postepay,Ristorante,maestro,634238,Colmurano,Centro,Marche,Macerata,2023-10-04,71,299329
1738,paypal,Pasticceria,mastercard,201454,Colmurano,Centro,Marche,Macerata,2023-10-05,48,63531
1739,satispay,Pasticceria,satispay,553111,Colmurano,Centro,Marche,Macerata,2023-10-06,35,272827
1740,contante,Ristorante,paypal,11356,Montecassiano,Centro,Marche,Macerata,2023-10-07,51,2567
1741,buono pasto,Stabilimento Balneare,maestro,325472,Montecassiano,Centro,Marche,Macerata,2023-10-08,30,130854
1742,maestro,Hotel,satispay,180632,Montecassiano,Centro,Marche,Macerata,2023-10-09,9,31665
1743,mastercard,Stabilimento Balneare,mastercard,82981,Montecassiano,Centro,Marche,Macerata,2023-10-10,30,40320
1744,bancomat,Stabilimento Balneare,postepay,992752,Montecassiano,Centro,Marche,Macerata,2023-10-11,76,293523
1745,carta fedelta,Stabilimento Balneare,carta fedelta,486522,Montecassiano,Centro,Marche,Macerata,2023-10-12,42,6362
1746,visa,Bar,maestro,261550,Montecassiano,Centro,Marche,Macerata,2023-10-13,42,7423
1747,postepay,Pizzeria,postepay,960691,Montecassiano,Centro,Marche,Macerata,2023-10-14,39,14211
1748,paypal,Pizzeria,paypal,732799,Montecassiano,Centro,Marche,Macerata,2023-10-15,51,269271
1749,satispay,Pasticceria,postepay,2289,Montecassiano,Centro,Marche,Macerata,2023-10-16,6,775
1750,contante,Ristorante,paypal,929286,Morrovalle,Centro,Marche,Macerata,2023-10-17,81,192931
1751,buono pasto,Enoteca,visa,710148,Morrovalle,Centro,Marche,Macerata,2023-10-18,78,295819
1752,maestro,Bar,carta fedelta,646775,Morrovalle,Centro,Marche,Macerata,2023-10-19,77,14831
1753,mastercard,Bar,visa,78327,Morrovalle,Centro,Marche,Macerata,2023-10-20,57,18587
1754,bancomat,Enoteca,visa,118571,Morrovalle,Centro,Marche,Macerata,2023-10-21,50,5988
1755,carta fedelta,Hotel,visa,834731,Morrovalle,Centro,Marche,Macerata,2023-10-22,63,209337
1756,visa,Bar,visa,721471,Morrovalle,Centro,Marche,Macerata,2023-10-23,74,87091
1757,postepay,Hotel,visa,185546,Morrovalle,Centro,Marche,Macerata,2023-10-24,84,70665
1758,paypal,Pizzeria,contante,934150,Morrovalle,Centro,Marche,Macerata,2023-10-25,94,29247
1759,satispay,Bar,mastercard,690547,Morrovalle,Centro,Marche,Macerata,2023-10-26,51,12458
1760,contante,Hotel,buono pasto,584395,San Ginesio,Centro,Marche,Macerata,2023-10-27,75,196116
1761,buono pasto,Hotel,postepay,646637,San Ginesio,Centro,Marche,Macerata,2023-10-28,92,209008
1762,maestro,Stabilimento Balneare,contante,992051,San Ginesio,Centro,Marche,Macerata,2023-10-29,41,210421
1763,mastercard,Hotel,bancomat,134231,San Ginesio,Centro,Marche,Macerata,2023-10-30,95,34238
1764,bancomat,Ristorante,satispay,818801,San Ginesio,Centro,Marche,Macerata,2023-10-31,83,248467
1765,carta fedelta,Pizzeria,paypal,269707,San Ginesio,Centro,Marche,Macerata,2023-11-01,75,133932
1766,visa,Pizzeria,contante,883953,San Ginesio,Centro,Marche,Macerata,2023-11-02,42,409866
1767,postepay,Stabilimento Balneare,mastercard,438184,San Ginesio,Centro,Marche,Macerata,2023-11-03,73,143042
1768,paypal,Pasticceria,carta fedelta,530021,San Ginesio,Centro,Marche,Macerata,2023-11-04,86,6685
1769,satispay,Pasticceria,postepay,27688,San Ginesio,Centro,Marche,Macerata,2023-11-05,75,6988
1770,contante,Bar,contante,382068,Comunanza,Centro,Marche,Piceno,2023-11-06,63,64761
1771,buono pasto,Stabilimento Balneare,visa,927710,Comunanza,Centro,Marche,Piceno,2023-11-07,48,92715
1772,maestro,Pizzeria,postepay,392657,Comunanza,Centro,Marche,Piceno,2023-11-08,59,52364
1773,mastercard,Bar,buono pasto,746746,Comunanza,Centro,Marche,Piceno,2023-11-09,78,5412
1774,bancomat,Pasticceria,postepay,709482,Comunanza,Centro,Marche,Piceno,2023-11-10,41,351994
1775,carta fedelta,Enoteca,satispay,383794,Comunanza,Centro,Marche,Piceno,2023-11-11,83,89763
1776,visa,Hotel,carta fedelta,158913,Comunanza,Centro,Marche,Piceno,2023-11-12,15,22997
1777,postepay,Pasticceria,buono pasto,583195,Comunanza,Centro,Marche,Piceno,2023-11-13,71,144152
1778,paypal,Bar,paypal,411897,Comunanza,Centro,Marche,Piceno,2023-11-14,15,199369
1779,satispay,Pizzeria,carta fedelta,769480,Comunanza,Centro,Marche,Piceno,2023-11-15,16,270667
1780,contante,Stabilimento Balneare,mastercard,206982,Force,Centro,Marche,Piceno,2023-11-16,7,94364
1781,buono pasto,Bar,visa,189302,Force,Centro,Marche,Piceno,2023-11-17,44,62094
1782,maestro,Ristorante,bancomat,329543,Force,Centro,Marche,Piceno,2023-11-18,26,37514
1783,mastercard,Ristorante,contante,610376,Force,Centro,Marche,Piceno,2023-11-19,61,261486
1784,bancomat,Ristorante,contante,992838,Force,Centro,Marche,Piceno,2023-11-20,84,340578
1785,carta fedelta,Pasticceria,buono pasto,755936,Force,Centro,Marche,Piceno,2023-11-21,4,341952
1786,visa,Stabilimento Balneare,bancomat,936378,Force,Centro,Marche,Piceno,2023-11-22,81,216290
1787,postepay,Bar,postepay,704481,Force,Centro,Marche,Piceno,2023-11-23,66,92249
1788,paypal,Ristorante,visa,428288,Force,Centro,Marche,Piceno,2023-11-24,76,25530
1789,satispay,Hotel,paypal,417524,Force,Centro,Marche,Piceno,2023-11-25,96,88057
1790,contante,Hotel,contante,265114,Montappone,Centro,Marche,Fermo,2023-11-26,38,35996
1791,buono pasto,Bar,maestro,217920,Montappone,Centro,Marche,Fermo,2023-11-27,99,95041
1792,maestro,Ristorante,visa,480664,Montappone,Centro,Marche,Fermo,2023-11-28,40,58448
1793,mastercard,Hotel,bancomat,437710,Montappone,Centro,Marche,Fermo,2023-11-29,4,46819
1794,bancomat,Stabilimento Balneare,visa,97632,Montappone,Centro,Marche,Fermo,2023-11-30,3,23822
1795,carta fedelta,Stabilimento Balneare,contante,899860,Montappone,Centro,Marche,Fermo,2023-12-01,82,429558
1796,visa,Enoteca,buono pasto,170499,Montappone,Centro,Marche,Fermo,2023-12-02,10,19530
1797,postepay,Pasticceria,paypal,60777,Montappone,Centro,Marche,Fermo,2023-12-03,63,13009
1798,paypal,Pizzeria,carta fedelta,338656,Montappone,Centro,Marche,Fermo,2023-12-04,80,74691
1799,satispay,Ristorante,contante,80328,Montappone,Centro,Marche,Fermo,2023-12-05,10,15680
1800,contante,Bar,maestro,816855,Montottone,Centro,Marche,Fermo,2023-12-06,54,137308
1801,buono pasto,Ristorante,bancomat,497776,Montottone,Centro,Marche,Fermo,2023-12-07,21,215266
1802,maestro,Pasticceria,maestro,696549,Montottone,Centro,Marche,Fermo,2023-12-08,37,166697
1803,mastercard,Stabilimento Balneare,paypal,136233,Montottone,Centro,Marche,Fermo,2023-12-09,54,21486
1804,bancomat,Hotel,buono pasto,789590,Montottone,Centro,Marche,Fermo,2023-12-10,37,41907
1805,carta fedelta,Ristorante,postepay,819464,Montottone,Centro,Marche,Fermo,2023-12-11,47,392991
1806,visa,Pasticceria,buono pasto,754439,Montottone,Centro,Marche,Fermo,2023-12-12,30,150729
1807,postepay,Stabilimento Balneare,satispay,780316,Montottone,Centro,Marche,Fermo,2023-12-13,98,141778
1808,paypal,Pasticceria,postepay,35299,Montottone,Centro,Marche,Fermo,2023-12-14,38,2676
1809,satispay,Bar,maestro,508982,Montottone,Centro,Marche,Fermo,2023-12-15,65,7072
1810,contante,Ristorante,postepay,273212,Petritoli,Centro,Marche,Fermo,2023-12-16,19,27616
1811,buono pasto,Enoteca,bancomat,488724,Petritoli,Centro,Marche,Fermo,2023-12-17,85,158829
1812,maestro,Bar,satispay,768140,Petritoli,Centro,Marche,Fermo,2023-12-18,10,128825
1813,mastercard,Enoteca,mastercard,413218,Petritoli,Centro,Marche,Fermo,2023-12-19,15,107162
1814,bancomat,Pizzeria,satispay,770065,Petritoli,Centro,Marche,Fermo,2023-12-20,55,243494
1815,carta fedelta,Stabilimento Balneare,buono pasto,61853,Petritoli,Centro,Marche,Fermo,2023-12-21,4,7947
1816,visa,Pasticceria,maestro,395850,Petritoli,Centro,Marche,Fermo,2023-12-22,44,153101
1817,postepay,Pizzeria,paypal,797864,Petritoli,Centro,Marche,Fermo,2023-12-23,94,358972
1818,paypal,Enoteca,maestro,49561,Petritoli,Centro,Marche,Fermo,2023-12-24,48,3715
1819,satispay,Bar,buono pasto,639114,Petritoli,Centro,Marche,Fermo,2023-12-25,79,275132
1820,contante,Pasticceria,carta fedelta,85835,Smerillo,Centro,Marche,Fermo,2023-12-26,70,26624
1821,buono pasto,Bar,postepay,721125,Smerillo,Centro,Marche,Fermo,2023-12-27,80,77099
1822,maestro,Enoteca,postepay,971611,Smerillo,Centro,Marche,Fermo,2023-12-28,64,114901
1823,mastercard,Hotel,paypal,462412,Smerillo,Centro,Marche,Fermo,2023-12-29,67,12801
1824,bancomat,Pizzeria,contante,574707,Smerillo,Centro,Marche,Fermo,2023-12-30,59,66626
1825,carta fedelta,Hotel,satispay,919181,Smerillo,Centro,Marche,Fermo,2023-12-31,55,83349
1826,visa,Stabilimento Balneare,satispay,180168,Smerillo,Centro,Marche,Fermo,2024-01-01,97,44203
1827,postepay,Pasticceria,mastercard,148953,Smerillo,Centro,Marche,Fermo,2024-01-02,56,60503
1828,paypal,Enoteca,visa,190155,Smerillo,Centro,Marche,Fermo,2024-01-03,12,77120
1829,satispay,Enoteca,buono pasto,218762,Smerillo,Centro,Marche,Fermo,2024-01-04,26,9483
1830,contante,Stabilimento Balneare,bancomat,544595,Cellere,Centro,Lazio,Viterbo,2024-01-05,86,157382
1831,buono pasto,Ristorante,contante,188546,Cellere,Centro,Lazio,Viterbo,2024-01-06,57,7521
1832,maestro,Stabilimento Balneare,contante,663419,Cellere,Centro,Lazio,Viterbo,2024-01-07,19,228093
1833,mastercard,Ristorante,carta fedelta,548117,Cellere,Centro,Lazio,Viterbo,2024-01-08,18,190325
1834,bancomat,Hotel,mastercard,402208,Cellere,Centro,Lazio,Viterbo,2024-01-09,14,184201
1835,carta fedelta,Stabilimento Balneare,visa,539311,Cellere,Centro,Lazio,Viterbo,2024-01-10,67,210273
1836,visa,Enoteca,buono pasto,741282,Cellere,Centro,Lazio,Viterbo,2024-01-11,14,351613
1837,postepay,Stabilimento Balneare,mastercard,877692,Cellere,Centro,Lazio,Viterbo,2024-01-12,18,182575
1838,paypal,Ristorante,carta fedelta,81969,Cellere,Centro,Lazio,Viterbo,2024-01-13,42,13998
1839,satispay,Pasticceria,paypal,630355,Cellere,Centro,Lazio,Viterbo,2024-01-14,16,151285
1840,contante,Hotel,satispay,851216,Sutri,Centro,Lazio,Viterbo,2024-01-15,96,170608
1841,buono pasto,Pizzeria,mastercard,116264,Sutri,Centro,Lazio,Viterbo,2024-01-16,100,39444
1842,maestro,Enoteca,contante,641963,Sutri,Centro,Lazio,Viterbo,2024-01-17,40,6717
1843,mastercard,Bar,contante,294983,Sutri,Centro,Lazio,Viterbo,2024-01-18,73,112755
1844,bancomat,Enoteca,visa,84188,Sutri,Centro,Lazio,Viterbo,2024-01-19,70,5306
1845,carta fedelta,Bar,bancomat,775660,Sutri,Centro,Lazio,Viterbo,2024-01-20,68,305332
1846,visa,Pasticceria,paypal,71066,Sutri,Centro,Lazio,Viterbo,2024-01-21,55,19690
1847,postepay,Ristorante,contante,466920,Sutri,Centro,Lazio,Viterbo,2024-01-22,82,39756
1848,paypal,Bar,mastercard,184788,Sutri,Centro,Lazio,Viterbo,2024-01-23,92,3286
1849,satispay,Ristorante,buono pasto,201774,Sutri,Centro,Lazio,Viterbo,2024-01-24,33,17587
1850,contante,Enoteca,satispay,181126,Vallerano,Centro,Lazio,Viterbo,2024-01-25,78,6024
1851,buono pasto,Pizzeria,contante,243827,Vallerano,Centro,Lazio,Viterbo,2024-01-26,19,113647
1852,maestro,Enoteca,buono pasto,433198,Vallerano,Centro,Lazio,Viterbo,2024-01-27,96,82715
1853,mastercard,Pasticceria,carta fedelta,346794,Vallerano,Centro,Lazio,Viterbo,2024-01-28,7,167828
1854,bancomat,Bar,contante,739955,Vallerano,Centro,Lazio,Viterbo,2024-01-29,69,343421
1855,carta fedelta,Pasticceria,bancomat,412720,Vallerano,Centro,Lazio,Viterbo,2024-01-30,4,124204
1856,visa,Enoteca,visa,261349,Vallerano,Centro,Lazio,Viterbo,2024-01-31,46,49693
1857,postepay,Pizzeria,visa,193419,Vallerano,Centro,Lazio,Viterbo,2024-02-01,10,73771
1858,paypal,Enoteca,buono pasto,49010,Vallerano,Centro,Lazio,Viterbo,2024-02-02,14,21626
1859,satispay,Pizzeria,mastercard,15756,Vallerano,Centro,Lazio,Viterbo,2024-02-03,74,7425
1860,contante,Pasticceria,buono pasto,399481,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-04,17,110693
1861,buono pasto,Ristorante,satispay,562419,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-05,76,189995
1862,maestro,Bar,satispay,944699,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-06,27,471698
1863,mastercard,Pasticceria,visa,860005,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-07,41,134695
1864,bancomat,Bar,postepay,850772,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-08,68,161713
1865,carta fedelta,Enoteca,maestro,981276,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-09,24,134088
1866,visa,Enoteca,carta fedelta,890802,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-10,11,297957
1867,postepay,Enoteca,mastercard,68615,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-11,39,6514
1868,paypal,Pizzeria,paypal,202508,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-12,72,33150
1869,satispay,Ristorante,buono pasto,528428,Pozzaglia Sabina,Centro,Lazio,Rieti,2024-02-13,91,85256
1870,contante,Ristorante,buono pasto,22051,Salisano,Centro,Lazio,Rieti,2024-02-14,98,11012
1871,buono pasto,Stabilimento Balneare,postepay,560783,Salisano,Centro,Lazio,Rieti,2024-02-15,15,273997
1872,maestro,Pasticceria,satispay,207894,Salisano,Centro,Lazio,Rieti,2024-02-16,68,74716
1873,mastercard,Bar,mastercard,658376,Salisano,Centro,Lazio,Rieti,2024-02-17,83,28927
1874,bancomat,Ristorante,contante,78097,Salisano,Centro,Lazio,Rieti,2024-02-18,82,20341
1875,carta fedelta,Ristorante,visa,918319,Salisano,Centro,Lazio,Rieti,2024-02-19,18,118000
1876,visa,Enoteca,visa,917871,Salisano,Centro,Lazio,Rieti,2024-02-20,10,89010
1877,postepay,Bar,maestro,94772,Salisano,Centro,Lazio,Rieti,2024-02-21,87,19013
1878,paypal,Hotel,buono pasto,909622,Salisano,Centro,Lazio,Rieti,2024-02-22,42,13590
1879,satispay,Ristorante,postepay,98744,Salisano,Centro,Lazio,Rieti,2024-02-23,18,48342
1880,contante,Pasticceria,carta fedelta,459753,Allumiere,Centro,Lazio,Roma,2024-02-24,55,207410
1881,buono pasto,Hotel,satispay,924171,Allumiere,Centro,Lazio,Roma,2024-02-25,97,224021
1882,maestro,Stabilimento Balneare,bancomat,247608,Allumiere,Centro,Lazio,Roma,2024-02-26,39,120088
1883,mastercard,Hotel,postepay,114761,Allumiere,Centro,Lazio,Roma,2024-02-27,24,17143
1884,bancomat,Pizzeria,buono pasto,418867,Allumiere,Centro,Lazio,Roma,2024-02-28,76,191952
1885,carta fedelta,Pizzeria,postepay,137787,Allumiere,Centro,Lazio,Roma,2024-02-29,62,45888
1886,visa,Pizzeria,mastercard,769588,Allumiere,Centro,Lazio,Roma,2024-03-01,45,192154
1887,postepay,Pasticceria,satispay,570559,Allumiere,Centro,Lazio,Roma,2024-03-02,35,237049
1888,paypal,Stabilimento Balneare,contante,461034,Allumiere,Centro,Lazio,Roma,2024-03-03,59,177868
1889,satispay,Pasticceria,bancomat,73760,Allumiere,Centro,Lazio,Roma,2024-03-04,66,24978
1890,contante,Ristorante,buono pasto,15303,Ciciliano,Centro,Lazio,Roma,2024-03-05,46,2586
1891,buono pasto,Stabilimento Balneare,maestro,135793,Ciciliano,Centro,Lazio,Roma,2024-03-06,19,64560
1892,maestro,Pasticceria,postepay,543469,Ciciliano,Centro,Lazio,Roma,2024-03-07,5,223488
